Gender,Age,H.S.C passing year,Current Semester,Do you have meritorious scholarship ?,Do you use University transportation?,How many hour do you study daily?,How many times do you seat for study in a day?,What is your preferable learning mode?,Do you use smart phone?,Do you have personal Computer?,How many hour do you spent daily in social media?,Average attendance on class,Did you ever fall in probation?,Did you ever got suspension?,Do you attend in teacher consultancy for any kind of academical problems?,How many hour do you spent daily on your skill development?,Are you engaged with any co-curriculum activities?,With whom you are living with?,Do you have any health issues?,What was your previous SGPA?,Do you have any physical disabilities?,How many Credit did you have completed?,What is your monthly family income?,performance,Status of your English language proficiency_Basic,Status of your English language proficiency_Intermediate,What is your relationship status?_Married,What is your relationship status?_Relationship,What is your relationship status?_Single
0,22,2018,11,1,1,1,2,1,1,1,3,80,0,0,0,3,0,0,0,2.68,0,126,50000,2,True,False,False,False,True
1,20,2019,6,0,0,2,2,1,1,1,5,90,1,0,0,2,0,0,0,2.68,0,65,40000,2,True,False,False,False,True
1,25,2016,14,0,0,6,4,1,1,1,2,2,1,0,1,4,1,0,0,3.16,0,121,60000,0,False,False,False,False,True
0,21,2019,5,0,0,2,3,0,1,1,1,87,1,0,1,1,0,0,0,1.92,0,39,60000,2,True,False,True,False,False
1,20,2020,4,0,1,2,1,0,1,1,2,80,0,0,1,4,0,0,1,2.68,0,36,30000,2,False,True,False,False,True
1,27,2014,10,0,1,5,2,1,1,1,6,50,1,0,1,2,0,0,0,2.68,0,113,7000,2,True,False,False,False,True
0,22,2018,11,0,0,8,3,1,1,1,4,99,0,0,1,4,0,1,0,2.68,0,126,20000,2,False,True,False,False,True
1,20,2020,2,0,1,3,3,0,1,1,1,99,0,0,0,1,0,0,0,2.68,0,11,20000,2,False,True,False,False,True
1,22,2018,7,0,1,1,1,0,1,1,5,70,1,0,1,1,0,0,0,2.68,0,77,20000,2,True,False,False,False,True
1,21,2020,2,1,1,7,2,1,1,1,1,100,0,0,1,3,1,0,0,2.68,0,11,30000,2,False,True,False,False,True
1,23,2017,13,0,0,2,1,0,1,1,1,75,1,1,1,3,0,1,0,2.68,0,136,35000,2,True,False,False,False,True
0,23,2020,8,1,0,6,3,0,1,1,6,100,0,0,1,2,0,1,0,2.68,0,88,62488,2,False,True,False,False,True
0,25,2015,8,0,0,2,2,0,1,1,1,100,0,0,1,2,0,0,0,2.68,0,88,60000,2,False,True,True,False,False
0,20,2020,2,0,1,4,3,0,1,0,2,88,0,0,1,3,0,1,0,2.68,0,11,60000,2,False,True,False,False,True
1,21,2020,4,1,1,2,2,0,1,1,2,80,0,0,1,2,1,0,0,2.68,0,36,50000,2,False,False,False,True,False
0,26,2014,22,0,1,2,2,1,1,1,3,80,1,1,0,2,1,0,1,2.68,0,77,30000,2,False,True,True,False,False
1,23,2018,11,0,1,5,5,0,1,1,3,90,0,0,1,2,0,1,0,3.29,0,114,28000,0,False,True,False,False,True
0,22,2018,11,0,1,3,1,0,1,1,3,100,0,0,1,3,1,0,0,2.68,0,126,60000,2,False,True,False,False,True
1,23,2017,12,0,0,2,2,0,1,1,1,100,1,0,1,3,0,1,0,2.68,0,136,90000,2,False,False,False,False,True
1,24,2017,15,0,0,3,2,1,1,1,3,80,1,0,1,4,0,1,0,2.68,0,113,200000,2,False,False,False,False,True
0,21,2019,8,0,0,4,2,0,1,1,1,100,0,0,0,1,1,0,0,2.68,0,88,50000,2,False,True,False,False,True
0,22,2018,9,0,1,3,1,0,1,1,5,80,1,0,0,3,0,1,1,2.0,0,77,4000,2,True,False,True,False,False
1,19,2020,2,1,1,3,2,0,1,1,3,90,0,0,1,1,0,0,0,2.68,0,11,40000,2,True,False,False,False,True
0,21,2018,10,0,0,5,1,0,1,1,3,80,1,0,1,2,0,1,1,3.3,0,105,80000,0,False,True,False,False,True
1,23,2017,10,0,1,3,2,1,1,1,2,90,0,0,1,3,0,1,1,2.68,0,113,35000,2,True,False,False,False,True
1,21,2018,9,0,0,1,1,1,1,1,12,90,0,0,1,6,0,1,0,3.01,0,79,65000,0,False,True,False,False,True
1,23,2017,12,0,0,4,1,0,1,1,2,97,0,0,1,4,0,1,0,2.68,0,136,20000,2,False,True,False,False,True
1,22,2018,9,0,0,3,2,0,1,1,3,95,0,0,1,2,0,1,0,3.2,0,103,40000,2,True,False,False,False,True
